country,matrix_group,organism,mean_pct,std_pct,max_pct,n_ab,embed_x,embed_y,cluster_id,cluster_method,embed_method
Cyprus,human,S. Enteritidis,4.514285714285714,11.943677347091581,31.6,7,6.3543935,1.0393585,1,HDBSCAN,UMAP
Cyprus,human,S. Typhimurium,6.728571428571429,15.358679878786708,41.2,7,6.4471993,1.290749,1,HDBSCAN,UMAP
Cyprus,human,Salmonella spp.,7.3428571428571425,8.881789823914461,21.2,7,6.321617,1.2491372,1,HDBSCAN,UMAP
Cyprus,meat,E. coli (ESBL/AmpC),2.624074074074074,2.129309959904803,4.316666666666666,3,18.228941,3.3720558,0,HDBSCAN,UMAP
Czechia,animal,C. coli,25.15833333333333,31.14922818733502,70.1,6,4.3987684,10.415658,2,HDBSCAN,UMAP
Czechia,animal,C. jejuni,27.88333333333333,40.72541794342529,88.3,6,1.8611708,11.557951,2,HDBSCAN,UMAP
Czechia,animal,E. coli,14.360000000000001,17.7510884978117,45.449999999999996,15,7.4928856,4.6178336,1,HDBSCAN,UMAP
Czechia,animal,E. coli (ESBL/AmpC),21.116666666666667,1.9000548237704427,23.025,3,16.84094,5.2737675,0,HDBSCAN,UMAP
Czechia,animal,S. Derby,5.333333333333333,9.15475416434127,20.0,15,6.3917837,2.5932496,1,HDBSCAN,UMAP
Czechia,animal,S. Enteritidis,3.1159420289855078,6.552549719192239,18.695652173913047,15,3.6820507,3.5116563,1,HDBSCAN,UMAP
Czechia,animal,S. Infantis,26.666666666666668,40.473389258811004,100.0,15,4.4364433,5.4286427,1,HDBSCAN,UMAP
Czechia,animal,S. Typhimurium,0.0,0.0,0.0,15,-0.0043514585,-3.0573163,-1,HDBSCAN,UMAP
Czechia,animal,S. Typhimurium (mono),20.0,41.403933560541255,100.0,15,7.252331,7.2307467,1,HDBSCAN,UMAP
Czechia,animal,Salmonella spp.,6.416181434599157,10.112594488521603,28.36139240506329,15,3.8583455,3.8162863,1,HDBSCAN,UMAP
Czechia,human,S. Enteritidis,4.56923076923077,11.993219238065638,43.2,13,6.085527,0.7435192,1,HDBSCAN,UMAP
Czechia,human,S. Infantis,17.799999999999997,19.565914238798044,62.5,13,8.729503,4.52149,1,HDBSCAN,UMAP
Czechia,human,S. Typhimurium,7.699999999999999,12.289426349508751,31.3,13,6.278548,1.0037136,1,HDBSCAN,UMAP
Czechia,human,S. Typhimurium (mono),15.384615384615385,31.784530990033662,100.0,13,6.778978,6.6170144,1,HDBSCAN,UMAP
Czechia,human,Salmonella spp.,7.269230769230769,7.88092471471301,24.5,13,6.1437206,1.1587931,1,HDBSCAN,UMAP
Czechia,meat,E. coli (ESBL/AmpC),7.522916666666666,4.4862558047700904,12.004999999999999,3,16.431192,3.923292,0,HDBSCAN,UMAP
Denmark,animal,C. coli,21.46666666666667,21.00410541880907,55.76666666666667,6,6.5706325,5.0276065,1,HDBSCAN,UMAP
Denmark,animal,C. jejuni,7.808333333333334,11.301478516843124,28.7,6,0.801451,11.325994,2,HDBSCAN,UMAP
Denmark,animal,E. coli,6.524444444444444,8.779968784218532,25.099999999999998,15,6.3748703,2.766398,1,HDBSCAN,UMAP
Denmark,animal,E. coli (ESBL/AmpC),3.7151902242378427,2.686499732976521,6.0633333333333335,3,17.757412,4.06869,0,HDBSCAN,UMAP
Denmark,animal,E. faecalis,22.701149425287355,35.183151733692036,100.0,12,5.4933543,8.853123,2,HDBSCAN,UMAP
Denmark,animal,E. faecium,4.558333333333334,10.647958262104297,37.1,12,5.5349073,3.2016222,1,HDBSCAN,UMAP
Denmark,animal,S. Derby,5.666666666666667,9.086227149346632,22.5,15,6.403201,2.581492,1,HDBSCAN,UMAP
Denmark,animal,S. Infantis,0.0,0.0,0.0,15,-0.01571812,-3.009619,-1,HDBSCAN,UMAP
Denmark,animal,S. Typhimurium,13.333333333333334,19.102904291781194,50.0,15,8.164294,4.776625,1,HDBSCAN,UMAP
Denmark,animal,S. Typhimurium (mono),21.073333333333334,34.29494895475897,87.1,15,7.4245524,7.069269,1,HDBSCAN,UMAP
Denmark,animal,Salmonella spp.,5.15956,6.363198301034292,15.76,15,4.0951595,2.7613826,1,HDBSCAN,UMAP
Denmark,human,C. coli,36.2,38.02569306841538,72.4,4,4.127814,9.933238,2,HDBSCAN,UMAP
Denmark,human,C. jejuni,16.3,20.89002951968554,43.7,4,2.7218943,10.724559,2,HDBSCAN,UMAP
Denmark,human,S. Typhimurium,12.46153846153846,24.650068913410717,68.5,13,5.951813,5.4306426,1,HDBSCAN,UMAP
Denmark,human,S. Typhimurium (mono),9.578571428571427,14.339841141241557,39.1,14,6.0239315,3.5234737,1,HDBSCAN,UMAP
Denmark,human,Salmonella spp.,8.053846153846154,11.340386191587966,32.7,13,5.759076,3.6514525,1,HDBSCAN,UMAP
Denmark,meat,E. coli (ESBL/AmpC),4.014195156695157,2.5528846217634253,6.835000000000001,3,17.944231,3.6914089,0,HDBSCAN,UMAP
Estonia,animal,C. coli,17.250000000000004,30.594166110551207,75.7,6,1.4715093,11.245847,2,HDBSCAN,UMAP
Estonia,animal,C. jejuni,10.741666666666667,19.752276240136645,49.05,6,1.1298211,11.286314,2,HDBSCAN,UMAP
Estonia,animal,E. coli,8.34,9.854335521557433,23.15,15,5.7414117,3.086844,1,HDBSCAN,UMAP
Estonia,animal,E. coli (ESBL/AmpC),15.241944444444442,7.364136270416188,23.6725,3,16.870415,5.2401247,0,HDBSCAN,UMAP
Estonia,animal,S. Derby,14.166666666666666,17.59328876372492,37.5,15,6.745567,4.581514,1,HDBSCAN,UMAP
Estonia,animal,S. Typhimurium (mono),22.666666666666668,40.6143301006407,100.0,15,7.2623105,7.230406,1,HDBSCAN,UMAP
Estonia,animal,Salmonella spp.,4.161666666666667,5.789552371873552,14.275,15,4.899768,1.7837809,1,HDBSCAN,UMAP
Estonia,human,C. coli,43.725,41.46953701212493,87.5,4,4.249878,9.863618,2,HDBSCAN,UMAP
Estonia,human,C. jejuni,38.875,40.80885320613653,80.8,4,4.1197386,10.041508,2,HDBSCAN,UMAP
Estonia,human,S. Enteritidis,8.635714285714286,17.20937164824656,47.9,14,3.4615517,2.7379622,1,HDBSCAN,UMAP
Estonia,human,S. Typhimurium,2.8500000000000005,5.663343671230057,13.3,14,4.5074525,1.2453088,1,HDBSCAN,UMAP
Estonia,human,S. Typhimurium (mono),17.607142857142858,27.487156841128385,73.3,14,6.917172,6.681404,1,HDBSCAN,UMAP
Estonia,human,Salmonella spp.,8.264285714285716,9.216757910112772,26.1,14,4.3522863,3.024962,1,HDBSCAN,UMAP
Estonia,meat,E. coli (ESBL/AmpC),7.916064814814814,4.096301295592104,12.19625,3,17.201149,4.2036743,0,HDBSCAN,UMAP
Finland,animal,C. coli,2.3333333333333335,5.569799517636759,13.7,6,0.7643512,11.363549,2,HDBSCAN,UMAP
Finland,animal,C. jejuni,6.008333333333334,14.257012894244948,35.1,6,0.8261053,11.333889,2,HDBSCAN,UMAP
Finland,animal,E. coli,2.693333333333334,4.149563947257706,13.25,15,4.6339707,1.3443508,1,HDBSCAN,UMAP
Finland,animal,E. coli (ESBL/AmpC),1.8325000000000002,1.3325,3.165,3,18.044674,3.6462488,0,HDBSCAN,UMAP
Finland,animal,Salmonella spp.,0.0,0.0,0.0,15,-0.063080214,-3.0572188,-1,HDBSCAN,UMAP
Finland,human,C. coli,50.79999999999999,33.6513001234722,81.3,3,4.309846,9.610945,2,HDBSCAN,UMAP
Finland,human,C. jejuni,29.53333333333333,28.41150001906505,58.4,3,3.1097443,10.738507,2,HDBSCAN,UMAP
Finland,human,S. Enteritidis,7.3999999999999995,14.683919776408477,33.3,9,4.6468163,3.8812346,1,HDBSCAN,UMAP
Finland,human,S. Typhimurium,1.588888888888889,3.1434234698988797,9.5,9,5.6048675,2.0399094,1,HDBSCAN,UMAP
Finland,human,S. Typhimurium (mono),34.25555555555556,39.200545631123276,100.0,9,7.002973,6.8029265,1,HDBSCAN,UMAP
Finland,human,Salmonella spp.,8.433333333333332,8.839966063283276,20.0,9,5.3418937,3.0400927,1,HDBSCAN,UMAP
Finland,meat,E. coli (ESBL/AmpC),0.07875,0.07875,0.1575,3,18.434578,2.6727252,0,HDBSCAN,UMAP
France,animal,C. coli,29.670833333333334,34.68145547935765,88.725,6,4.6595006,9.757522,2,HDBSCAN,UMAP
France,animal,C. jejuni,19.877777777777776,27.777038212376997,57.23333333333333,6,1.7446756,11.266732,2,HDBSCAN,UMAP
France,animal,E. coli,12.138333333333332,15.598708928565058,43.075,15,7.6965833,3.943708,1,HDBSCAN,UMAP
France,animal,E. coli (ESBL/AmpC),3.446150793650794,1.2755440423327067,4.9175,3,18.038885,3.6301997,0,HDBSCAN,UMAP
France,animal,S. Derby,5.413333333333332,13.124070942174843,40.6,15,5.7954974,4.1021223,1,HDBSCAN,UMAP
France,animal,S. Enteritidis,0.0,0.0,0.0,15,-0.01458301,-3.0953066,-1,HDBSCAN,UMAP
France,animal,S. Infantis,0.0,0.0,0.0,15,-0.07370709,-3.101908,-1,HDBSCAN,UMAP
France,animal,S. Kentucky,0.0,0.0,0.0,15,-0.020275516,-3.014844,-1,HDBSCAN,UMAP
France,animal,S. Typhimurium,17.779999999999998,27.80355064684057,66.7,15,7.7491827,6.4970016,1,HDBSCAN,UMAP
France,animal,S. Typhimurium (mono),12.873333333333333,25.010768157126314,84.5,15,6.474869,6.2967863,1,HDBSCAN,UMAP
France,animal,Salmonella spp.,5.713226976744186,7.47899659746984,26.819911627906976,15,4.8668337,2.7346563,1,HDBSCAN,UMAP
France,human,C. coli,29.8,37.947068397967186,78.8,5,3.7569568,11.645566,2,HDBSCAN,UMAP
France,human,C. jejuni,19.6,27.801528734945492,59.8,5,3.7657452,11.65355,2,HDBSCAN,UMAP
France,human,S. Derby,4.55,9.936548696604873,36.4,14,5.370398,3.3159578,1,HDBSCAN,UMAP
France,human,S. Enteritidis,3.1428571428571432,5.502546862864685,14.8,14,3.715218,3.0077193,1,HDBSCAN,UMAP
France,human,S. Infantis,4.542857142857143,5.040865964328914,13.6,14,4.7813396,1.7753485,1,HDBSCAN,UMAP
France,human,S. Kentucky,35.50000000000001,32.52880380406075,85.4,14,8.706923,5.1222544,1,HDBSCAN,UMAP
France,human,S. Typhimurium,5.992857142857143,7.875127768019853,21.0,14,5.932227,2.9891415,1,HDBSCAN,UMAP
France,human,S. Typhimurium (mono),18.92142857142857,32.78426401542312,83.0,14,7.1111035,6.959859,1,HDBSCAN,UMAP
France,human,Salmonella spp.,9.485714285714286,9.422873736315768,23.5,14,4.974023,2.9634311,1,HDBSCAN,UMAP
France,meat,E. coli,8.691666666666666,10.456541299702351,36.55,15,4.890967,2.8357515,1,HDBSCAN,UMAP
